,content,date,event,geo,language,sentiment,source,targets,uri
73,@damedash1986 @Apple I did the same thing many years ago. Always keep an eye this time of year for Apple releases.,2017-09-13 06:59:49,Other,Bay Area | Vallejo | CA,en,0.0,twitter,"[{'sentiment': 0, 'label': 'time'}, {'sentiment': 0, 'label': 'thing'}]",https://twitter.com/undefined/status/907861356388376576
74,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:49,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861357663416321
75,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:47,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861347760726016
76,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:45,Other,Oklahoma,en,0.0,twitter,[],https://twitter.com/undefined/status/907861342467608576
77,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:44,Other,"Sacramento, CA",en,0.0,twitter,[],https://twitter.com/undefined/status/907861338122326016
78,@AmazonHelp ORDER #405-1828363-6805964,2017-09-13 06:59:43,Downsize,moradabad,nl,0.0,twitter,[],https://twitter.com/undefined/status/907861334192136193
79,"RT @SuperAppBros: Yep. You'll be unlocking your iPhone X with your face.

Bravo, @Apple.

#iPhone8 #AppleEvent https://t.co/Z8pUAsoEp8",2017-09-13 06:59:43,Other,deep space,en,0.0,twitter,"[{'sentiment': 0, 'label': 'face'}]",https://twitter.com/undefined/status/907861330614464518
80,RT @KING5Seattle: VERIFY: How to protect yourself after the Equifax data breach https://t.co/AS6ZZGjmaI https://t.co/NnN04UHXxv,2017-09-13 06:59:42,Other,"Tacoma, WA",en,0.0,twitter,[],https://twitter.com/undefined/status/907861326910824448
81,Voluntary rules for self-driving cars $GM $F $TM $NSANY $HMC $BMWYY $DDAIF $TSLA $FCAU $ALV $INTC https://t.co/TZtYV8YmqK,2017-09-13 06:59:42,Other,"Boston, MA",en,-0.09,twitter,"[{'sentiment': -0.09, 'label': 'intc'}, {'sentiment': -0.09, 'label': 'f'}, {'sentiment': -0.09, 'label': 'hmc'}]",https://twitter.com/undefined/status/907861327380664321
82,"@tim_cook Would love to get my hands on #iPhoneX someday been using @Apple products since my first iPod nano,iPad1s… https://t.co/rBuCahzoDd",2017-09-13 06:59:41,Other,"Redding, CA",en,0.0,twitter,[],https://twitter.com/undefined/status/907861321860866049
83,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:41,Other,Massachusettes,en,0.0,twitter,[],https://twitter.com/undefined/status/907861322905382912
84,"RT @FastCompany: You don't need a lawyer to sue Equifax, use this chatbot instead https://t.co/bP3xS0FLWd",2017-09-13 06:59:41,Other,"San Francisco, CA",en,0.0,twitter,[],https://twitter.com/undefined/status/907861323542700032
85,"@nelo09 @Apple @SamsungMobile The entire phone is a glass version of a phone that already exists but yeah, I can't… https://t.co/A6iACCDxdZ",2017-09-13 06:59:40,Other,"California, USA",en,0.0,twitter,"[{'sentiment': 0, 'label': 'phone'}]",https://twitter.com/undefined/status/907861318736142337
86,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:40,Other,North Carolina,en,0.0,twitter,[],https://twitter.com/undefined/status/907861320535605248
87,"We have different approach. A better way of scoring credit , data driven with human touch &amp; innovative structuring… https://t.co/pVrqizc5aP",2017-09-13 06:59:39,Other,"India, Singapore, UK,Valley",en,0.0,twitter,"[{'sentiment': 0, 'label': 'data'}]",https://twitter.com/undefined/status/907861315644833792
88,$GS Goldman Sachs Group Option Order Flow Sentiment is 72.9% Bullish. https://t.co/4KNFmRciP7,2017-09-13 06:59:38,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861311429771265
